	Zo_IVT_NP_3	Zo_IVT_NP_6	Zo_IVT_NP_10	Zo_IVT_NP_13	Zo_IVT_NP_15	Zo_IVT_NP_18	Zo_IVT_NP_20	Zo_IVT_NP_21	Zo_IVT_NP_23	Zo_IVT_NP_26	Zo_IVT_NP_28	Zo_IVT_PR_1	Zo_IVT_PR_2	Zo_IVT_PR_3	Zo_IVT_PR_5	Zo_IVT_PR_7	SW_IVT_NP_1	SW_IVT_NP_2	SW_IVT_NP_3	SW_IVT_NP_4	SW_IVT_NP_5	SW_IVT_NP_6	SW_IVT_PR_1	SW_IVT_PR_2	SW_IVT_PR_3	SW_IVT_PR_4
ENSBTAG00000005663	8.725928791	9.347541376	9.677687255	9.079760015	5.347392934	7.550987937	9.529239814	9.163509057	5.949449586	5.347392934	9.772889224	5.347392934	5.347392934	6.984855137	5.425281064	9.500204263	7.492924669	7.125137104	7.548731068	7.488597675	7.390980658	7.857575324	7.209803601	7.285240009	7.276664473	6.755185045
ENSBTAG00000005664	9.304349253	9.809813422	10.67893984	10.54269573	10.2980939	8.777907154	11.26741455	10.38961985	9.5924534	11.00390364	11.20462018	11.34280702	10.23700567	10.2324328	10.03428448	10.51718704	10.26678744	9.827235598	10.03085408	10.69345101	10.91321835	10.31617851	9.876795914	10.18809608	10.38592909	9.767858251
ENSBTAG00000005665	8.800871407	9.680601967	8.650341089	7.624156614	8.168813373	8.589712003	5.363204589	9.787040167	8.192567402	7.010311654	9.722487184	7.579779049	5.363204589	9.028303934	5.441551491	7.865804839	8.966457777	8.061694041	8.823554724	8.424482708	8.242523966	8.257156822	7.704617103	7.643821026	7.968124988	7.083712052
ENSBTAG00000005666	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	5.824846487	6.015407813	6.123191679	5.602665835	5.945155197	6.443489147	5.72325155	5.689981903	5.817222157	5.792048009	6.022405972	5.70990793	5.999770431
ENSBTAG00000005668	9.632845655	8.580736564	5.617970677	5.617970677	9.231549449	5.617970677	9.314814723	9.142199204	8.681746828	5.617970677	9.441982515	5.617970677	5.617970677	7.081314641	5.696543536	5.740985326	7.533307165	6.254412038	6.2790992	7.861047244	7.718802129	7.618116633	6.292548244	6.834281687	7.352788797	6.639358548
ENSBTAG00000005670	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.325871005	6.522855186	6.634271899	6.168712944	5.687461978	5.698974308	6.446365132	6.71942001	6.663702329	6.680229231	6.066109224	6.973381576	6.51334055
ENSBTAG00000005672	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.771911568	5.962160754	6.06976807	5.929326173	6.114851792	5.601595481	5.393780557	5.427580364	5.960682429	5.886084191	5.885272542	5.931548679	6.014304066
ENSBTAG00000005674	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	5.698303941	8.696729808	5.824039346	6.11479162	5.507900653	5.791534071	5.823544463	5.515315298	6.492929239	5.306042168	6.333370775	6.156500299	5.674176486
ENSBTAG00000005675	5.777304708	5.777304708	5.777304708	9.762523298	7.951548808	5.777304708	5.777304708	5.777304708	7.924688217	5.777304708	5.777304708	9.377552235	5.777304708	5.777304708	5.855901	5.900356045	6.652497221	5.687997212	5.913062926	6.972518567	6.268976098	6.913093577	6.663471156	5.714885923	6.498970764	6.028379362
ENSBTAG00000005676	7.110300538	8.686991229	6.850105481	8.607236116	5.395466095	9.290985087	9.485128995	9.265305311	6.952259023	9.017480397	8.623811358	10.11953811	5.395466095	5.395466095	5.47357157	9.971146992	6.81991432	7.799179232	7.532070311	7.043705886	7.423736892	7.217330076	7.15533426	8.34775896	7.104564104	7.769802936
ENSBTAG00000005678	5.881721571	5.881721571	5.881721571	5.881721571	5.881721571	10.19001108	5.881721571	5.881721571	5.881721571	5.881721571	10.48442716	5.881721571	5.881721571	5.881721571	5.960529176	6.005103742	5.684829317	7.461034563	6.804440706	6.009245476	6.08661656	6.010885195	6.401912972	6.739297636	5.440212213	6.898704666
ENSBTAG00000005679	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.690439574	5.868652924	5.96945262	5.737581139	5.576857121	6.064325208	5.79090729	5.821501472	5.467630808	5.672713049	5.748492484	5.692615854	5.647577881
ENSBTAG00000005681	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.707002783	5.869236257	5.960997536	5.745694819	5.736690734	5.714315793	5.647173113	5.594976062	5.716371727	5.892414903	5.877534474	5.612312962	5.827696959
ENSBTAG00000005682	9.450065314	5.756574373	5.756574373	5.756574373	8.273707293	10.43353338	5.756574373	5.756574373	5.756574373	5.756574373	9.249379092	5.756574373	5.756574373	5.756574373	5.835075965	5.879477446	6.316681848	6.034238177	6.325719951	6.950430273	6.895515106	6.921539591	7.511182128	6.759771594	6.014938193	6.366854885
ENSBTAG00000005683	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.68750362	5.856730648	5.952447569	5.813652306	5.686868411	5.700656537	5.673959737	5.524026665	5.646486308	5.796287439	5.886443484	5.751887635	5.590203367
ENSBTAG00000005685	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.636355659	5.820490981	5.924640218	5.54230951	5.782056691	5.637427911	5.744602784	5.408585267	5.773084204	5.684952061	5.804600517	5.496245627	6.017451333
ENSBTAG00000005688	6.214407979	6.214407979	9.682516657	6.214407979	9.180514377	9.273661879	6.214407979	6.214407979	6.214407979	10.17177005	9.421985518	6.214407979	6.214407979	9.952390909	6.29295438	6.337381205	6.536632385	7.774375004	8.162635025	7.537131849	7.884279935	7.30268049	7.323213919	6.345448832	6.498325788	6.946741472
ENSBTAG00000005691	5.62922152	5.62922152	5.62922152	5.62922152	5.62922152	5.62922152	5.62922152	7.76350457	9.377219074	5.62922152	5.62922152	5.62922152	5.62922152	5.62922152	5.707338323	5.751522162	5.808018992	5.948597604	6.03831269	5.633477341	5.989775693	6.207730593	5.905942396	6.310123173	5.53500893	5.64646746
ENSBTAG00000005693	8.283294781	5.65637385	7.539597233	5.65637385	5.65637385	5.65637385	5.65637385	5.65637385	5.65637385	5.65637385	5.65637385	8.255525207	5.65637385	5.65637385	5.734443357	5.778600446	6.312311137	6.374186976	5.904809286	6.668156364	6.792849474	6.097146915	6.276674532	5.905671905	6.520184958	6.214493122
ENSBTAG00000005694	9.340000155	8.244845697	8.081204708	7.741694012	10.28960747	5.18956266	8.776070237	9.41400154	8.388290177	8.020796591	9.571458738	9.825433791	5.18956266	9.657990423	5.269155745	5.314174588	9.470087193	7.12666125	7.24313419	9.438906059	8.732362475	8.727401205	7.861396946	6.878335449	8.8480465	7.150478408
ENSBTAG00000005695	5.720481041	5.720481041	9.978948359	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.720481041	5.798765655	5.843044411	5.585142211	6.442344152	5.456553085	5.798081052	5.812648872	5.970352199	6.111557639	6.211838231	5.722501087	6.297104719
ENSBTAG00000005699	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.728826334	5.918239935	6.025374634	5.463732007	6.075656406	5.802284799	5.75502764	5.702268737	5.794276535	5.978865843	5.511047902	5.488936525	6.173768492
ENSBTAG00000005700	5.577882002	9.173112796	9.538502875	7.890706087	5.577882002	5.577882002	5.577882002	5.577882002	9.221602705	5.577882002	5.577882002	5.577882002	5.577882002	5.577882002	5.655979201	5.700151952	6.18042332	5.71669757	5.984285643	6.773014337	6.74031477	7.001040145	6.37879139	6.801256996	6.239771104	6.322380511
ENSBTAG00000005702	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.46637338	6.666236118	6.779280979	7.25396744	8.224495457	7.596957656	4.925021711	5.097158644	5.147738436	6.362695887	5.752950135	7.313723793	8.527788908
ENSBTAG00000005704	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.70484456	5.89816816	6.007514403	5.217442094	5.742797738	5.691454722	5.92439708	5.968289957	5.812150821	5.55863589	6.332538118	5.540662415	5.550179519
ENSBTAG00000005708	9.80920095	8.320414845	5.16353989	10.2879448	10.91614601	5.16353989	8.988648269	9.908381413	8.584396948	9.216279533	9.197557604	9.61790553	5.16353989	9.595748411	5.241611555	5.285769864	8.700834204	7.965850643	7.877428803	9.002701487	8.743017186	8.287559984	7.488604589	7.843993216	8.220923973	7.790469095
ENSBTAG00000005709	5.760271663	5.760271663	5.760271663	5.760271663	5.760271663	8.910369724	5.760271663	5.760271663	6.728720219	5.760271663	5.760271663	5.760271663	5.760271663	5.760271663	5.840523899	5.885915565	5.513517771	6.205547306	5.982303855	6.263941752	6.394947897	5.582229179	6.495798194	5.650790289	5.284597015	6.03872904
ENSBTAG00000005710	5.578031767	5.578031767	5.578031767	5.578031767	5.578031767	5.578031767	5.578031767	5.578031767	5.578031767	5.578031767	7.478228175	5.578031767	5.578031767	5.578031767	5.656804896	5.701359961	5.340178229	5.674832353	5.731025614	5.77115362	5.643855925	6.933039452	6.065328089	6.455454785	5.274866374	6.25147644
ENSBTAG00000005711	6.669789042	6.669789042	6.669789042	6.669789042	6.669789042	6.669789042	6.669789042	9.438302873	6.669789042	6.669789042	6.669789042	6.669789042	6.669789042	6.669789042	6.748752106	6.793414601	6.723405319	7.176726976	6.9074571	6.306993273	7.01524315	6.562067682	7.034242986	7.089344363	6.55310304	7.213500954
ENSBTAG00000005712	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.820715984	5.904382553	5.951705409	6.62742193	5.044815159	5.567072764	6.5075347	5.27715198	6.618785335	6.854340039	5.117393725	6.478566257	5.522307062
ENSBTAG00000005714	5.781879064	5.781879064	5.781879064	5.781879064	5.781879064	5.781879064	5.781879064	5.781879064	6.751181559	5.781879064	5.781879064	5.781879064	5.781879064	5.781879064	5.862202062	5.907633753	5.944108643	6.062175335	6.338802326	6.084980647	6.078491138	5.807568641	5.572063462	5.768149776	5.907296133	5.835260199
ENSBTAG00000005715	5.939953795	5.939953795	5.939953795	5.939953795	8.224340161	9.299677765	5.939953795	5.939953795	5.939953795	5.939953795	5.939953795	9.100254353	5.939953795	5.939953795	6.019877745	6.065083729	5.957471346	5.948344256	5.523404594	6.869639719	6.476138556	6.835174881	6.800357804	5.385426207	7.100973059	7.323977207
