ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
LHB	ADCYAP1R1	luteinizing hormone subunit beta	ADCYAP receptor type I	ENSBTAG00000038735	ENSBTAG00000020247
LHB	ADRB2	luteinizing hormone subunit beta	adrenoceptor beta 2	ENSBTAG00000038735	ENSBTAG00000002144
LHB	ADRB3	luteinizing hormone subunit beta	adrenoceptor beta 3	ENSBTAG00000038735	ENSBTAG00000017981
LHB	GPR20	luteinizing hormone subunit beta	G protein-coupled receptor 20	ENSBTAG00000038735	ENSBTAG00000015985
LHB	GPR84	luteinizing hormone subunit beta	G protein-coupled receptor 84	ENSBTAG00000038735	ENSBTAG00000015592
LHB	LHCGR	luteinizing hormone subunit beta	luteinizing hormone/choriogonadotropin receptor	ENSBTAG00000038735	ENSBTAG00000016573
LHB	PTH1R	luteinizing hormone subunit beta	parathyroid hormone 1 receptor	ENSBTAG00000038735	ENSBTAG00000016948
LHB	RAMP2	luteinizing hormone subunit beta	receptor activity modifying protein 2	ENSBTAG00000038735	ENSBTAG00000019903
LHB	RAMP3	luteinizing hormone subunit beta	receptor activity modifying protein 3	ENSBTAG00000038735	ENSBTAG00000020704
LHB	TSHR	luteinizing hormone subunit beta	thyroid stimulating hormone receptor	ENSBTAG00000038735	ENSBTAG00000017489
LHB	VIPR1	luteinizing hormone subunit beta	vasoactive intestinal peptide receptor 1	ENSBTAG00000038735	ENSBTAG00000006567
LIN7C	ABCA1	"lin-7 homolog C, crumbs cell polarity complex component"	ATP binding cassette subfamily A member 1	ENSBTAG00000001460	ENSBTAG00000020661
LIN7C	KCNJ4	"lin-7 homolog C, crumbs cell polarity complex component"	potassium inwardly rectifying channel subfamily J member 4	ENSBTAG00000001460	ENSBTAG00000051965
LIPC	LRP1	"lipase C, hepatic type"	LDL receptor related protein 1	ENSBTAG00000005479	ENSBTAG00000010830
LIPH	LPAR1	lipase H	lysophosphatidic acid receptor 1	ENSBTAG00000001535	ENSBTAG00000009654
LIPH	LPAR2	lipase H	lysophosphatidic acid receptor 2	ENSBTAG00000001535	ENSBTAG00000004652
LIPH	LPAR4	lipase H	lysophosphatidic acid receptor 4	ENSBTAG00000001535	ENSBTAG00000003299
LPL	CD44	lipoprotein lipase	CD44 molecule (Indian blood group)	ENSBTAG00000012855	ENSBTAG00000011578
LPL	GPIHBP1	lipoprotein lipase	glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1	ENSBTAG00000012855	ENSBTAG00000049125
LPL	LRP1	lipoprotein lipase	LDL receptor related protein 1	ENSBTAG00000012855	ENSBTAG00000010830
LPL	LRP2	lipoprotein lipase	LDL receptor related protein 2	ENSBTAG00000012855	ENSBTAG00000004555
LPL	SDC1	lipoprotein lipase	syndecan 1	ENSBTAG00000012855	ENSBTAG00000011154
LPL	VLDLR	lipoprotein lipase	very low density lipoprotein receptor	ENSBTAG00000012855	ENSBTAG00000018517
LRPAP1	LDLR	LDL receptor related protein associated protein 1	low density lipoprotein receptor	ENSBTAG00000000073	ENSBTAG00000012314
LRPAP1	LRP1	LDL receptor related protein associated protein 1	LDL receptor related protein 1	ENSBTAG00000000073	ENSBTAG00000010830
LRPAP1	LRP2	LDL receptor related protein associated protein 1	LDL receptor related protein 2	ENSBTAG00000000073	ENSBTAG00000004555
LRPAP1	LRP8	LDL receptor related protein associated protein 1	LDL receptor related protein 8	ENSBTAG00000000073	ENSBTAG00000000736
LRPAP1	SORL1	LDL receptor related protein associated protein 1	sortilin related receptor 1	ENSBTAG00000000073	ENSBTAG00000014611
LRPAP1	SORT1	LDL receptor related protein associated protein 1	sortilin 1	ENSBTAG00000000073	ENSBTAG00000008849
LRPAP1	VLDLR	LDL receptor related protein associated protein 1	very low density lipoprotein receptor	ENSBTAG00000000073	ENSBTAG00000018517
LTA	CACHD1	lymphotoxin alpha	cache domain containing 1	ENSBTAG00000000016	ENSBTAG00000016455
LTA	EDNRA	lymphotoxin alpha	endothelin receptor type A	ENSBTAG00000000016	ENSBTAG00000013674
