ligand	receptor	d.ligand	d.receptor	ligand_ensembl	receptor_ensembl
NPVF	NPFFR2	neuropeptide VF precursor	neuropeptide FF receptor 2	ENSBTAG00000019447	ENSBTAG00000009070
NPW	ADRA2A	neuropeptide W	adrenoceptor alpha 2A	ENSBTAG00000065335	ENSBTAG00000039292
NPW	GRM7	neuropeptide W	glutamate metabotropic receptor 7	ENSBTAG00000065335	ENSBTAG00000013047
NPW	MTNR1A	neuropeptide W	melatonin receptor 1A	ENSBTAG00000065335	ENSBTAG00000046938
NPW	NPBWR1	neuropeptide W	neuropeptides B and W receptor 1	ENSBTAG00000065335	ENSBTAG00000016159
NPW	NPBWR2	neuropeptide W	neuropeptides B and W receptor 2	ENSBTAG00000065335	ENSBTAG00000047704
NPY	ADRA2A	neuropeptide Y	adrenoceptor alpha 2A	ENSBTAG00000004503	ENSBTAG00000039292
NPY	FAP	neuropeptide Y	fibroblast activation protein alpha	ENSBTAG00000004503	ENSBTAG00000008140
NPY	GRM7	neuropeptide Y	glutamate metabotropic receptor 7	ENSBTAG00000004503	ENSBTAG00000013047
NPY	MC4R	neuropeptide Y	melanocortin 4 receptor	ENSBTAG00000004503	ENSBTAG00000019676
NPY	MTNR1A	neuropeptide Y	melatonin receptor 1A	ENSBTAG00000004503	ENSBTAG00000046938
NPY	NPFFR2	neuropeptide Y	neuropeptide FF receptor 2	ENSBTAG00000004503	ENSBTAG00000009070
NPY	NPY1R	neuropeptide Y	neuropeptide Y receptor Y1	ENSBTAG00000004503	ENSBTAG00000047586
NPY	NPY2R	neuropeptide Y	neuropeptide Y receptor Y2	ENSBTAG00000004503	ENSBTAG00000016633
NPY	NPY5R	neuropeptide Y	neuropeptide Y receptor Y5	ENSBTAG00000004503	ENSBTAG00000038421
NPY	PRLHR	neuropeptide Y	prolactin releasing hormone receptor	ENSBTAG00000004503	ENSBTAG00000047842
NRG1	ERBB2	neuregulin 1	erb-b2 receptor tyrosine kinase 2	ENSBTAG00000054057	ENSBTAG00000021798
NRG1	ERBB3	neuregulin 1	erb-b2 receptor tyrosine kinase 3	ENSBTAG00000054057	ENSBTAG00000010444
NRG1	ERBB4	neuregulin 1	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000054057	ENSBTAG00000012647
NRG1	GPC1	neuregulin 1	glypican 1	ENSBTAG00000054057	ENSBTAG00000015996
NRG2	ERBB2	neuregulin 2	erb-b2 receptor tyrosine kinase 2	ENSBTAG00000010689	ENSBTAG00000021798
NRG2	ERBB3	neuregulin 2	erb-b2 receptor tyrosine kinase 3	ENSBTAG00000010689	ENSBTAG00000010444
NRG2	ERBB4	neuregulin 2	erb-b2 receptor tyrosine kinase 4	ENSBTAG00000010689	ENSBTAG00000012647
NRG3	ERBB2	neuregulin 3	erb-b2 receptor tyrosine kinase 2	ENSBTAG00000009587	ENSBTAG00000021798
NRG3	ERBB3	neuregulin 3	erb-b2 receptor tyrosine kinase 3	ENSBTAG00000009587	ENSBTAG00000010444
