	Zo_NP_1	Zo_NP_3	Zo_NP_4	Zo_NP_5	Zo_NP_6	Zo_NP_8	Zo_NP_9	Zo_NP_10	Zo_NP_11	Zo_NP_12	Zo_NP_13	Zo_NP_14	Zo_NP_15	SW_NP_1	SW_NP_3	SW_NP_5	Zo_PR_1	Zo_PR_2	Zo_PR_3	Zo_PR_4	SW_PR_1	SW_PR_2	SW_PR_3	SW_PR_4	SW_PR_5	SW_PR_6	SW_PR_7
ENSBTAG00000000026	6.183371584	5.406714407	6.342250001	5.624943387	6.405836251	6.034226276	5.747915361	5.846285891	6.071396621	5.715113342	5.584803833	5.786507399	6.263206896	5.625924202	6.30803352	5.958120125	5.616539994	5.427799762	5.978181295	6.238587308	6.269523103	5.722145172	5.554278209	6.048149928	5.988762198	5.700619742	6.224999098
ENSBTAG00000000029	4.725048471	5.083218413	4.698361184	4.65964094	5.694724503	5.014414366	4.788837919	5.514192235	4.579950243	5.638487583	5.525327436	5.584266924	4.820023606	5.189435016	4.843143591	5.443671199	5.144420078	5.150096502	4.765282909	4.934435175	4.791416468	4.60353157	5.103582329	5.482744514	4.942228345	4.696107955	5.333240279
ENSBTAG00000000030	5.564743198	6.049362439	4.89118363	5.53158255	4.954991412	5.223868526	5.848208835	5.625321698	5.626887437	4.629000916	6.105572319	5.657017189	5.235897296	5.060542216	6.351717419	5.228852179	5.961423396	5.392558804	5.885330687	5.316549919	5.842165555	6.040837629	5.240699791	5.670080911	5.044096689	5.523570369	5.481234666
ENSBTAG00000000031	5.752913734	6.156717416	5.749300094	6.091537041	5.809515947	4.396579464	5.073279042	4.926638738	5.983311709	5.688748281	5.665992383	5.095214012	5.507538423	4.737392195	4.913707235	5.472284525	5.701039416	4.977753335	5.189051476	4.75499648	5.002134934	5.580916721	5.897776083	4.763212059	5.815320949	5.949528904	6.106574356
ENSBTAG00000000032	5.57647569	4.752080131	5.649310832	4.616947034	5.371680041	5.097792781	5.59464072	4.777581333	4.537036165	4.69915491	4.716751049	5.056625836	5.373899507	4.795989532	4.880200729	5.133830168	5.420062657	4.824242811	5.200364279	4.904951192	4.619800627	5.538166185	4.949733025	4.948351795	4.854394096	5.314560881	4.948493496
ENSBTAG00000000033	7.848116136	7.887591722	7.197945375	8.23259081	7.453599971	7.703718828	7.909556334	6.780551695	7.975847998	7.17374862	6.875888242	7.852625406	7.161541355	7.075163713	7.433306872	7.067297729	6.732901159	7.134020735	7.360610122	6.530445114	7.329581794	8.073045561	6.979196565	7.187909747	7.037409065	7.110981157	7.502422642
ENSBTAG00000000037	6.436777687	6.245294476	6.618025803	6.239322162	6.364546476	5.588543923	5.739251748	6.450987038	6.256015211	5.711333042	6.381192618	6.28040155	6.626865791	6.103960577	5.602664062	5.553931024	5.519655975	5.995892674	5.83454442	5.674870521	6.200721572	7.2674943	6.547050143	6.050604328	6.178644502	5.981013359	5.858775271
ENSBTAG00000000039	5.718394948	5.6059556	5.812688141	6.202184652	6.135513237	5.394622755	6.185508613	5.792531012	5.794117467	5.66499452	5.251324394	5.901968261	6.004117691	5.520602053	5.736802174	5.537144375	6.070498618	5.445042781	4.487502267	6.146100093	5.697425905	6.656287179	5.61358128	5.48267061	5.478282362	5.741660532	5.416671239
ENSBTAG00000000040	6.245542279	7.015750259	6.453905197	6.631278166	6.514339916	6.861965757	6.220505695	6.643476686	6.413986241	5.833245951	6.709286978	7.156173652	6.326104819	6.18602716	6.262892739	6.535255525	5.8648063	5.875185304	5.577098903	6.174720826	6.483566247	5.766483056	6.294510902	6.555940245	6.455205303	6.343173149	6.722484607
ENSBTAG00000000042	5.015105913	5.086419896	4.98766413	5.397641902	4.957819717	4.884874606	5.080698801	5.112569815	5.954411229	5.032148329	5.911822787	5.100092485	5.112766162	4.847381778	5.272471381	5.241504073	5.507559379	6.173646238	5.117703335	5.291637834	5.701942335	5.768203569	5.715212736	5.621342883	5.576710313	5.630620518	5.513276039
