"Sample","ENSBTAG00000031998-ENSBTAG00000015708","ENSBTAG00000010663-ENSBTAG00000019929","ENSBTAG00000010663-ENSBTAG00000015910","ENSBTAG00000010303-ENSBTAG00000007103","ENSBTAG00000014465-ENSBTAG00000019929","ENSBTAG00000012817-ENSBTAG00000022799","ENSBTAG00000014921-ENSBTAG00000017745","ENSBTAG00000007338-ENSBTAG00000017593","ENSBTAG00000008300-ENSBTAG00000001462","ENSBTAG00000021302-ENSBTAG00000015910","ENSBTAG00000021466-ENSBTAG00000015910","ENSBTAG00000012088-ENSBTAG00000015910","ENSBTAG00000010303-ENSBTAG00000017060","ENSBTAG00000001745-ENSBTAG00000015910","ENSBTAG00000007273-ENSBTAG00000034385","ENSBTAG00000012004-ENSBTAG00000015910","ENSBTAG00000014737-ENSBTAG00000015910","ENSBTAG00000012004-ENSBTAG00000019929","ENSBTAG00000001292-ENSBTAG00000034385","ENSBTAG00000010123-ENSBTAG00000018517","ENSBTAG00000010361-ENSBTAG00000022799","ENSBTAG00000012817-ENSBTAG00000007909","ENSBTAG00000015509-ENSBTAG00000012687","ENSBTAG00000047567-ENSBTAG00000000570","ENSBTAG00000007897-ENSBTAG00000016948","ENSBTAG00000015043-ENSBTAG00000022799","ENSBTAG00000039355-ENSBTAG00000011515","ENSBTAG00000014051-ENSBTAG00000015910","ENSBTAG00000038735-ENSBTAG00000016948","ENSBTAG00000000310-ENSBTAG00000022799"
"Zo_IVT_NP_3.NP_Hols_2",39.0659263335915,67.9079650093558,95.6606780316213,31.1318556162058,64.8162821281156,62.3612242574899,77.4741002536401,28.5329327391111,50.4516369183991,81.9585620155988,90.8486153631876,84.1559281629636,42.889326016498,82.1509728884247,38.3905107917728,72.6965382121082,80.2438796071801,51.6060943199387,35.9695533996602,52.5784131964585,54.4770125489676,79.4859021406658,55.3574222022807,31.2301027614462,44.3351429781731,64.0618458816828,41.2675430783457,94.6600490073949,43.0236937616132,60.8576593454295
"Zo_IVT_NP_13.NP_Hols_2",39.0659263335915,67.9079650093558,95.6606780316213,31.1318556162058,64.8162821281156,62.3612242574899,77.4741002536401,28.5329327391111,52.5308413093274,81.9585620155988,90.8486153631876,84.1559281629636,42.889326016498,82.1509728884247,38.3905107917728,72.6965382121082,80.2438796071801,51.6060943199387,35.9695533996602,52.5784131964585,54.4770125489676,79.4859021406658,55.3574222022807,31.2301027614462,44.3351429781731,64.0618458816828,41.2675430783457,94.6600490073949,43.0236937616132,60.8576593454295
"Zo_IVT_NP_18.NP_Hols_2",39.0659263335915,67.9079650093558,95.6606780316213,31.1318556162058,64.8162821281156,62.3612242574899,77.4741002536401,28.5329327391111,51.6249643367189,81.9585620155988,90.8486153631876,84.1559281629636,42.889326016498,82.1509728884247,38.3905107917728,72.6965382121082,80.2438796071801,51.6060943199387,35.9695533996602,52.5784131964585,54.4770125489676,79.4859021406658,55.3574222022807,31.2301027614462,44.3351429781731,64.0618458816828,41.2675430783457,94.6600490073949,43.0236937616132,60.8576593454295
"Zo_IVT_NP_23.NP_Hols_2",39.0659263335915,67.9079650093558,95.6606780316213,31.1318556162058,64.8162821281156,62.3612242574899,77.4741002536401,28.5329327391111,53.0389085905663,81.9585620155988,90.8486153631876,84.1559281629636,42.889326016498,82.1509728884247,38.3905107917728,72.6965382121082,80.2438796071801,51.6060943199387,35.9695533996602,52.5784131964585,54.4770125489676,79.4859021406658,55.3574222022807,31.2301027614462,44.3351429781731,64.0618458816828,41.2675430783457,94.6600490073949,43.0236937616132,60.8576593454295
"SW_IVT_NP_2.NP_Hols_2",12.5375080175626,18.0730608440275,25.4591822065089,25.9423145976783,42.1120622173489,59.6089457290749,66.0978221793236,27.4798963202023,51.960134863736,25.4591822065089,78.0321523095416,59.7689982525733,35.7398672960305,25.4591822065089,9.97059017098337,48.8893086619064,66.2395159185643,34.7057278942441,35.6787932143133,51.4113056642921,17.4169152533912,75.9778353190434,70.6978319875732,36.2797198354598,32.2292095597361,64.0058760569444,38.1554895060497,92.5040196214503,39.9923543130582,62.6045042290314
"Zo_IVT_NP_3.NP_Hols_3",38.2848210680334,67.9303024123752,96.3363542142312,32.2603593568823,64.8376025640307,62.1202693857641,80.6944423706478,32.5943017947853,53.1473883479216,82.5374565985599,91.4903026989568,84.750343313004,42.078700594403,82.7312265192905,39.2184317336855,73.2100127184448,80.8106629435147,51.6230694439455,36.7452645302661,53.2397278364266,54.2665211462244,84.6669363772987,50.1352262692183,31.1415198479043,44.5817402119163,63.814320050676,37.1174224753398,95.3286574876509,43.2629965619279,60.6225140339686
"Zo_IVT_NP_13.NP_Hols_3",38.2848210680334,67.9303024123752,96.3363542142312,32.2603593568823,64.8376025640307,62.1202693857641,80.6944423706478,32.5943017947853,55.3376895942043,82.5374565985599,91.4903026989568,84.750343313004,42.078700594403,82.7312265192905,39.2184317336855,73.2100127184448,80.8106629435147,51.6230694439455,36.7452645302661,53.2397278364266,54.2665211462244,84.6669363772987,50.1352262692183,31.1415198479043,44.5817402119163,63.814320050676,37.1174224753398,95.3286574876509,43.2629965619279,60.6225140339686
"Zo_IVT_NP_18.NP_Hols_3",38.2848210680334,67.9303024123752,96.3363542142312,32.2603593568823,64.8376025640307,62.1202693857641,80.6944423706478,32.5943017947853,54.3834094518863,82.5374565985599,91.4903026989568,84.750343313004,42.078700594403,82.7312265192905,39.2184317336855,73.2100127184448,80.8106629435147,51.6230694439455,36.7452645302661,53.2397278364266,54.2665211462244,84.6669363772987,50.1352262692183,31.1415198479043,44.5817402119163,63.814320050676,37.1174224753398,95.3286574876509,43.2629965619279,60.6225140339686
"Zo_IVT_NP_23.NP_Hols_3",38.2848210680334,67.9303024123752,96.3363542142312,32.2603593568823,64.8376025640307,62.1202693857641,80.6944423706478,32.5943017947853,55.8729041234484,82.5374565985599,91.4903026989568,84.750343313004,42.078700594403,82.7312265192905,39.2184317336855,73.2100127184448,80.8106629435147,51.6230694439455,36.7452645302661,53.2397278364266,54.2665211462244,84.6669363772987,50.1352262692183,31.1415198479043,44.5817402119163,63.814320050676,37.1174224753398,95.3286574876509,43.2629965619279,60.6225140339686
"SW_IVT_NP_2.NP_Hols_3",12.2868262995388,18.0790057319918,25.639007014357,26.8827018147527,42.1259144084077,59.378625268839,68.8452900416117,31.3913764890468,54.7364889404858,25.639007014357,78.5833136422672,60.1911621908674,35.0643695043115,25.639007014357,10.1856136295291,49.2346265305106,66.7073828015377,34.7171438721922,36.4482338775157,52.0579407951134,17.3496187782064,80.9302074430535,64.0284836690631,36.1768138889101,32.4084721805215,63.7585664853536,34.318336351179,93.1573995068953,40.2147964499728,62.3626093582111
"Zo_IVT_NP_3.NP_Hols_11",37.0568655831795,66.4717526782116,97.2240072809067,29.494267540245,63.4454570174162,59.39668420522,79.0435763053386,28.5329327391111,52.9736169775525,83.2979652047128,92.3333037490194,85.5312416847267,39.3245188237124,83.4935205414036,36.9044836514617,73.8845772982541,81.5552606954949,50.514656680565,34.5772371351884,49.444666653281,51.8872736919722,81.8052578349538,46.3879254286238,29.8812336356615,41.381199661069,61.0164613466642,36.7478683771342,96.2070255331428,40.1571291330336,57.9645960554597
"Zo_IVT_NP_13.NP_Hols_11",37.0568655831795,66.4717526782116,97.2240072809067,29.494267540245,63.4454570174162,59.39668420522,79.0435763053386,28.5329327391111,55.1567567872921,83.2979652047128,92.3333037490194,85.5312416847267,39.3245188237124,83.4935205414036,36.9044836514617,73.8845772982541,81.5552606954949,50.514656680565,34.5772371351884,49.444666653281,51.8872736919722,81.8052578349538,46.3879254286238,29.8812336356615,41.381199661069,61.0164613466642,36.7478683771342,96.2070255331428,40.1571291330336,57.9645960554597
"Zo_IVT_NP_18.NP_Hols_11",37.0568655831795,66.4717526782116,97.2240072809067,29.494267540245,63.4454570174162,59.39668420522,79.0435763053386,28.5329327391111,54.2055967713472,83.2979652047128,92.3333037490194,85.5312416847267,39.3245188237124,83.4935205414036,36.9044836514617,73.8845772982541,81.5552606954949,50.514656680565,34.5772371351884,49.444666653281,51.8872736919722,81.8052578349538,46.3879254286238,29.8812336356615,41.381199661069,61.0164613466642,36.7478683771342,96.2070255331428,40.1571291330336,57.9645960554597
"Zo_IVT_NP_23.NP_Hols_11",37.0568655831795,66.4717526782116,97.2240072809067,29.494267540245,63.4454570174162,59.39668420522,79.0435763053386,28.5329327391111,55.69022137237,83.2979652047128,92.3333037490194,85.5312416847267,39.3245188237124,83.4935205414036,36.9044836514617,73.8845772982541,81.5552606954949,50.514656680565,34.5772371351884,49.444666653281,51.8872736919722,81.8052578349538,46.3879254286238,29.8812336356615,41.381199661069,61.0164613466642,36.7478683771342,96.2070255331428,40.1571291330336,57.9645960554597
"SW_IVT_NP_2.NP_Hols_11",11.8927360223725,17.6908265532174,25.8752474594978,24.5777051258976,41.2214176068362,56.7752440307603,67.4368367485829,27.4798963202023,54.5575218268035,25.8752474594978,79.3073883689167,60.7457697441766,32.7692975100403,25.8752474594978,9.58464668407942,49.6882794384175,67.3220314811214,33.971722768981,34.2977317499949,48.3471203530364,16.5889465361243,78.1948275181764,59.2427470018611,34.7127511209481,30.0818552985488,60.9631522263801,33.9766509377966,94.0157613582471,37.3277604982491,59.6283990859838
"Zo_IVT_PR_1.PR_Hols_5",42.5523897211423,70.7785479878273,96.201705254019,35.4572634643723,67.5561745130389,61.7986552139331,78.8479924671055,32.2685437569635,46.4839532894985,82.422094305683,91.362427046734,84.6318880766834,47.3329501508983,82.6155933949237,41.2115019669744,73.1076873588226,80.6977141836394,53.787570026357,38.6126490663667,53.4001108461012,53.9855680462272,83.9780158428905,82.1169299057257,36.448527841796,45.6916112012528,63.483935300304,44.3154101562872,95.1954169813661,44.3400371746901,60.3086541644264
"Zo_IVT_PR_3.PR_Hols_5",42.5523897211423,102.976550469363,139.965004057911,35.4572634643723,102.10181072605,79.5117086532955,78.8479924671055,32.2685437569635,50.504016091429,82.422094305683,91.362427046734,84.6318880766834,47.3329501508983,82.6155933949237,41.2115019669744,73.1076873588226,80.6977141836394,53.787570026357,38.6126490663667,53.4001108461012,53.9855680462272,108.048233507131,82.3373302000229,36.448527841796,45.6916112012528,63.483935300304,44.3154101562872,95.1954169813661,44.3400371746901,60.3086541644264
"Zo_IVT_PR_5.PR_Hols_5",50.8967392489096,73.8277655910847,100.346180401692,41.5089022539021,93.6464647366891,65.9547296299248,81.765795630376,37.6713349955012,50.2473600723096,97.3360223949485,101.652995076938,91.4912055825737,55.4114618342342,90.2052180759221,44.5279970640457,91.8118237598544,94.7076306399184,67.548777401379,42.6932349236563,58.1213868727996,64.830363053141,89.6256934815407,85.24670525175,37.8389607038696,51.0886688015846,69.3976480296831,50.3661641301306,104.056430300731,50.1494253058743,64.5381348987423
